match_id,player_id,gender
11998445,287803,M
11998446,62790,M
11998447,64580,M
11998448,131442,M
11998449,22218,M
11998450,117916,M
11998451,264344,M
11998456,264344,M
11998459,283070,M
11998666,39712,M
11998667,46390,M
11998670,32466,M
11998671,79467,M
11998672,66874,M
11998674,39712,M
11998675,237452,M
11998676,217464,M
11998772,290569,M
11998774,39711,M
11998780,334293,M
11998782,36678,M
11998783,65016,M
11998784,63642,M
11998785,333007,M
11998786,232057,M
11999004,22970,M
11999005,197446,M
11999007,57155,M
11999009,132558,M
11999010,200159,M
11999011,36300,M
11999012,16683,M
11999013,390214,M
11999014,36300,M
11999209,204776,M
11999210,166198,M
11999211,54975,M
11999212,264978,M
11999213,54573,M
11999215,44549,M
11999219,48225,M
11999220,380044,M
12002040,306421,F
12002041,23082,F
12002042,256104,F
12002043,46304,F
12002044,48455,F
12002048,220801,F
12002049,210831,F
12002050,189986,F
12002051,72376,F
12002052,19546,F
12002053,78551,F
12002055,64496,F
12002057,318575,F
12002058,227431,F
12002060,52025,F
12002064,23082,F
12002065,206568,F
12002068,210831,F
12010829,273680,M
12010830,108565,M
12011297,105607,M
12011301,62404,M
12011306,258908,M
12014547,19704,F
12016976,189986,F
12017442,277187,F
12017453,155556,F
12017455,204006,M
12017458,350691,M
12017459,281443,M
12017462,268808,F
12017463,199378,M
12017464,372053,F
12017465,199408,F
12017468,232459,F
12017473,348987,F
12017477,223563,F
12017480,78419,M
12017488,217883,M
12017495,205971,M
12017501,213081,M
12017504,141892,F
12017505,339457,F
12017506,373201,M
12017510,130628,F
12017511,55309,F
12017513,92879,F
12017514,98607,F
12017517,305745,F
12017520,112957,F
12017522,207654,F
12017523,182056,F
12017526,165866,F
12017528,94779,F
12017533,64968,F
12017539,189831,M
12017648,93661,F
12017656,99429,F
12018083,208613,F
12018833,375538,F
12018836,478938,F
12018842,274033,M
12018844,237045,M
12018849,228644,M
12018857,329533,M
12018899,19957,F
12018932,302539,F
12018933,55885,F
12018934,420871,F
12018937,318710,F
12018939,208061,F
12018941,62000,F
12018944,373035,F
12018945,389513,F
12019043,161448,M
12019094,55745,M
12019105,118040,M
12019106,267576,M
12019658,355527,M
12019672,105063,F
12019673,377989,F
12019677,387966,F
12019755,303360,F
12019899,71034,F
12019944,108621,F
12019945,168526,F
12019949,160364,F
12019979,244419,M
12020048,71484,F
12020068,71484,F
12020069,201870,F
12020070,92879,F
12020071,222826,F
12020073,200757,F
12020074,248329,F
12020075,89566,F
12020509,189311,F
12020510,224033,F
12020513,138452,F
12020532,297194,F
12020544,238275,F
12020555,376006,F
12020624,314519,F
12020718,41359,F
12021294,383987,M
12021309,213076,M
12021318,244423,F
12021328,445463,F
12021399,274685,F
12021419,221362,F
12021434,207065,F
12021435,72634,F
12021442,238867,M
12021451,215719,M
12021493,342909,M
12021494,284553,F
12021502,425525,M
12021503,217150,M
12021508,338890,M
12021512,339443,M
12021516,232615,M
12021518,300989,F
12021519,396821,M
12021521,265670,F
12021522,280123,M
12021530,248273,F
12021532,369438,F
12021538,192406,F
12021539,217835,M
12021558,65606,M
12021562,420979,F
12021566,301521,F
12021581,326246,M
12021589,329139,F
12021590,269873,M
12021599,400491,F
12021601,57155,M
12021605,48318,F
12021622,326110,M
12021623,371052,F
12021624,253366,M
12021658,263653,F
12021659,339765,M
12021806,383652,F
12021807,247858,M
12021848,130624,F
12022185,215205,M
12022248,311586,M
12022250,194136,M
12022262,362567,F
12022282,377363,M
12022295,212809,M
12022305,95939,M
12022321,62000,F
12022327,118052,F
12022336,451884,F
12022371,268808,F
12022396,266466,M
12022430,256533,F
12022438,198121,F
12022452,342875,F
12022453,204764,M
12022492,64968,F
12022513,277187,F
12022525,179262,M
12022526,326524,M
12022527,335085,F
12022528,155556,F
12022562,88318,F
12022672,168526,F
12022674,256756,M
12022675,223563,F
12022680,256098,F
12022685,280202,F
12022703,233214,F
12022718,108621,F
12022727,479888,F
12022801,141892,F
12022802,51943,F
12023335,297194,F
12023340,406665,F
12023348,75813,M
12023350,450685,M
12023352,81041,M
12023353,138966,M
12023361,17046,M
12023362,257637,M
12023461,231597,F
12023462,238275,F
12023465,221362,F
12023470,138452,F
12024041,198223,M
12024043,149100,M
12024064,207065,F
12024149,369438,F
12024225,338890,M
12024232,189540,M
12024235,108767,M
12024236,114885,M
12024243,383987,M
12024248,280123,M
12024249,213076,M
12024252,274685,F
12024254,199378,M
12024307,190208,F
12024308,78419,M
12024356,326246,M
12024368,122368,M
12024386,329816,M
12024387,42029,M
12024430,198121,F
12024431,234320,F
12024440,207654,F
12024550,284553,F
12024572,234309,F
12024628,118040,M
12024632,179262,M
12024643,339443,M
12024644,336308,F
12024645,81275,M
12024652,228644,M
12024769,460257,M
12024782,71034,F
12024913,383652,F
12025016,100341,F
12025030,303360,F
12025056,48318,F
12025057,19957,F
12025085,377363,M
12025144,165866,F
12025672,244410,M
11998445,287803,M
11998446,62790,M
11998447,64580,M
11998452,64580,M
11998453,248846,M
11998454,283070,M
11998456,264344,M
11998459,283070,M
11998664,58369,M
11998666,39712,M
11998667,46390,M
11998670,32466,M
11998671,79467,M
11998673,79467,M
11998772,290569,M
11998776,36678,M
11998777,334293,M
11998779,39711,M
11998780,334293,M
11998781,232057,M
11998784,63642,M
11998786,232057,M
11999004,22970,M
11999005,197446,M
11999006,300293,M
11999007,57155,M
11999009,132558,M
11999011,36300,M
11999014,36300,M
11999015,132558,M
11999018,200159,M
11999019,200159,M
11999206,144102,M
11999207,54573,M
11999208,298057,M
11999211,54975,M
11999212,264978,M
11999213,54573,M
11999214,377489,M
11999219,48225,M
12002041,23082,F
12002049,210831,F
12002050,189986,F
12002051,72376,F
12002053,78551,F
12002055,64496,F
12002057,318575,F
12002058,227431,F
12002059,64496,F
12002060,52025,F
12002061,78551,F
12002064,23082,F
12002065,206568,F
12002066,318575,F
12002067,52025,F
12002068,210831,F
12002072,50641,F
12017513,92879,F
12017514,98607,F
12018899,19957,F
12019043,161448,M
12019658,355527,M
12020048,71484,F
12021512,339443,M
12021514,232615,M
12021515,339443,M
12021516,232615,M
12021538,192406,F
12021658,263653,F
12022282,377363,M
12022321,62000,F
12022492,64968,F
12022526,326524,M
12022528,155556,F
12022562,88318,F
12022672,168526,F
12022675,223563,F
12022685,280202,F
12022703,233214,F
12022718,108621,F
12022727,479888,F
12022801,141892,F
12022802,51943,F
12023335,297194,F
12023340,406665,F
12023348,75813,M
12023349,450685,M
12023350,450685,M
12023351,75813,M
12023352,81041,M
12023353,138966,M
12023355,81041,M
12023356,138966,M
12023358,17046,M
12023359,257637,M
12023361,17046,M
12023362,257637,M
12023461,231597,F
12023462,238275,F
12023465,221362,F
12023470,138452,F
12024039,149100,M
12024041,198223,M
12024042,198223,M
12024043,149100,M
12024064,207065,F
12024149,369438,F
12024225,338890,M
12024226,212809,M
12024231,108767,M
12024232,189540,M
12024234,189540,M
12024235,108767,M
12024236,114885,M
12024239,153826,M
12024240,172482,M
12024243,383987,M
12024245,217835,M
12024248,280123,M
12024249,213076,M
12024252,274685,F
12024254,199378,M
12024307,190208,F
12024308,78419,M
12024356,326246,M
12024365,369288,M
12024368,122368,M
12024369,102339,M
12024371,333518,F
12024386,329816,M
12024387,42029,M
12024388,42029,M
12024389,329816,M
12024430,198121,F
12024431,234320,F
12024435,478938,F
12024440,207654,F
12024489,387966,F
12024512,83661,M
12024513,83661,M
12024514,152726,M
12024550,284553,F
12024556,47770,M
12024557,218259,M
12024559,218259,M
12024572,234309,F
12024613,198592,M
12024614,39234,M
12024617,198592,M
12024628,118040,M
12024632,179262,M
12024637,96239,M
12024640,119248,M
12024642,232615,M
12024643,339443,M
12024644,336308,F
12024645,81275,M
12024652,228644,M
12024769,460257,M
12024782,71034,F
12024794,154744,F
12024837,167370,M
12024840,229218,M
12024913,383652,F
12024934,187218,M
12024935,217437,M
12025016,100341,F
12025030,303360,F
12025044,197546,M
12025056,48318,F
12025057,19957,F
12025061,326524,M
12025067,64968,F
12025085,377363,M
12025130,51836,M
12025133,377065,F
12025138,16779,M
12025139,280151,M
12025142,233214,F
12025144,165866,F
12025149,141892,F
12025174,248329,F
12025672,244410,M
12025679,138452,F
12025684,163996,M
12025685,204329,M
12025687,162638,M
12025690,289106,M
12025752,297194,F
12025799,244410,M
12025849,52533,F
12026470,327924,F
12026623,177686,M
12026792,326246,M
12026797,351300,M
12026852,182875,M
12026853,105375,M
12026855,17600,M
12026875,322022,M
12026878,22956,M
12026987,118040,M
12027048,165198,M
12027058,51009,M
12027148,412849,F
12027491,213076,M
12027494,284553,F
12027535,414229,M
12027539,234309,F
12027541,15387,M
12027547,63220,F
12027611,100341,F
12027640,274049,F
12027641,105463,F
12027643,425590,F
12027644,103375,F
12027645,45139,F
12027646,110055,F
12027647,123824,F
12027648,45902,F
12027649,91960,F
12027651,60392,F
12027652,410065,F
12027653,71034,F
12027654,124804,F
